cycSecs,cycMps,cycGrade,cycRoadType
172,3.111111111,0,0
173,3.166666667,0,0
174,3.194444444,0,0
175,3.305555556,0,0
176,3.444444444,0,0
177,3.611111111,0,0
178,3.75,0,0
179,3.805555556,0,0
180,3.833333333,0,0
181,3.805555556,0,0
182,3.694444444,0,0
183,3.444444444,0,0
184,3.166666667,0,0
185,2.944444444,0,0
186,2.888888889,0,0
187,2.916666667,0,0
188,3.027777778,0,0
189,3.222222222,0,0
190,3.444444444,0,0
191,3.583333333,0,0
192,3.666666667,0,0
193,3.722222222,0,0
194,3.75,0,0
195,3.777777778,0,0
196,3.777777778,0,0
197,3.75,0,0
198,3.75,0,0
199,3.75,0,0
200,3.888888889,0,0
201,4.222222222,0,0
202,4.583333333,0,0
203,4.805555556,0,0
204,4.888888889,0,0
205,4.888888889,0,0
206,4.861111111,0,0
207,4.722222222,0,0
208,4.527777778,0,0
209,4.305555556,0,0
210,3.944444444,0,0
211,3.527777778,0,0
212,3.166666667,0,0
213,2.972222222,0,0
214,2.888888889,0,0
215,2.916666667,0,0
216,3.027777778,0,0
217,3.222222222,0,0
218,3.333333333,0,0
219,3.361111111,0,0
220,3.388888889,0,0
221,3.611111111,0,0
222,4.222222222,0,0
223,5.055555556,0,0
224,5.833333333,0,0
225,6.416666667,0,0
226,6.75,0,0
227,6.833333333,0,0
228,6.888888889,0,0
229,7,0,0
230,7.277777778,0,0
231,7.638888889,0,0
232,7.916666667,0,0
233,8.055555556,0,0
234,8.138888889,0,0
235,8.166666667,0,0
236,8.111111111,0,0
237,7.972222222,0,0
238,7.75,0,0
239,7.444444444,0,0
240,6.972222222,0,0
241,6.444444444,0,0
242,5.888888889,0,0
243,5.138888889,0,0
244,4.138888889,0,0
245,3.222222222,0,0
246,2.527777778,0,0
247,1.944444444,0,0
248,1.555555556,0,0
249,1.333333333,0,0
250,1.138888889,0,0
251,0.916666667,0,0
252,0.694444444,0,0
253,0.416666667,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0.305555556,0,0
274,0.888888889,0,0
275,1.527777778,0,0
276,2.166666667,0,0
277,2.583333333,0,0
278,2.666666667,0,0
279,2.888888889,0,0
280,3.138888889,0,0
281,3.166666667,0,0
282,2.722222222,0,0
283,2.666666667,0,0
284,1.972222222,0,0
285,1.527777778,0,0
286,1.111111111,0,0
287,0.194444444,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,0
322,0,0,0
323,0,0,0
324,1,0,0
325,1.722222222,0,0
326,2.694444444,0,0
327,3.055555556,0,0
328,3.388888889,0,0
329,3.472222222,0,0
330,3.5,0,0
331,3.472222222,0,0
332,3.222222222,0,0
333,2.861111111,0,0
334,2.444444444,0,0
335,2.305555556,0,0
336,2.055555556,0,0
337,1.833333333,0,0
338,1.888888889,0,0
339,2.25,0,0
340,2.805555556,0,0
341,2.944444444,0,0
342,2.888888889,0,0
343,2.777777778,0,0
344,2.611111111,0,0
345,2.388888889,0,0
346,1.583333333,0,0
347,1.277777778,0,0
348,0,0,0
349,0,0,0
350,0,0,0
351,0,0,0
352,0,0,0
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,0
367,0,0,0
368,0,0,0
369,0,0,0
370,0,0,0
371,0,0,0
372,0,0,0
373,0,0,0
374,0,0,0
375,0,0,0
376,0,0,0
377,0,0,0
378,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0,0,0
392,0,0,0
393,0,0,0
394,0,0,0
395,0,0,0
396,0,0,0
397,0,0,0
398,0,0,0
399,0,0,0
400,0.555555556,0,0
401,1.111111111,0,0
402,1.583333333,0,0
403,2.083333333,0,0
404,2.444444444,0,0
405,2.555555556,0,0
406,3.027777778,0,0
407,3.277777778,0,0
408,3.5,0,0
409,3.75,0,0
410,3.888888889,0,0
411,4.055555556,0,0
412,4.25,0,0
413,4.5,0,0
414,4.666666667,0,0
415,4.75,0,0
416,4.861111111,0,0
417,4.861111111,0,0
418,4.888888889,0,0
419,4.722222222,0,0
420,4.194444444,0,0
421,3.694444444,0,0
422,3.277777778,0,0
423,2.944444444,0,0
424,2.666666667,0,0
425,2.388888889,0,0
426,1.972222222,0,0
427,1.611111111,0,0
428,1.361111111,0,0
429,1.083333333,0,0
430,1.75,0,0
431,1.277777778,0,0
432,0.583333333,0,0
433,0,0,0
434,0,0,0
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,0,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,0,0,0
478,0,0,0
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
490,0,0,0
491,0,0,0
492,0,0,0
493,0,0,0
494,0,0,0
495,0,0,0
496,0,0,0
497,0,0,0
498,0,0,0
499,0,0,0
500,0,0,0
501,0,0,0
502,0,0,0
503,0,0,0
504,0,0,0
505,0,0,0
506,0,0,0
507,0,0,0
508,0,0,0
509,0,0,0
510,0,0,0
511,0,0,0
512,0,0,0
513,0,0,0
514,0,0,0
515,0,0,0
516,0,0,0
517,0,0,0
518,0,0,0
519,1.5,0,0
520,2.944444444,0,0
521,4.027777778,0,0
522,4.166666667,0,0
523,4.555555556,0,0
524,5.472222222,0,0
525,6.888888889,0,0
526,7.388888889,0,0
527,7.25,0,0
528,7.527777778,0,0
