cycSecs,cycMps,cycGrade,cycRoadType
175,11.22088605,0,0
176,11.04206715,0,0
177,11.17618132,0,0
178,11.26559077,0,0
179,11.35500022,0,0
180,11.53381912,0,0
181,12.15968528,0,0
182,11.8467522,0,0
183,10.72913407,0,0
184,10.14797264,0,0
185,8.672716706,0,0
186,7.912736376,0,0
187,7.68921275,0,0
188,8.091555277,0,0
189,8.315078904,0,0
190,8.940945058,0,0
191,9.924449014,0,0
192,10.9526577,0,0
193,12.20439,0,0
194,13.63494121,0,0
195,14.97608297,0,0
196,16.18311055,0,0
197,16.67486253,0,0
198,17.56895704,0,0
199,18.10541374,0,0
200,18.82068935,0,0
201,19.4465555,0,0
202,20.16183111,0,0
203,20.56417363,0,0
204,20.92181144,0,0
205,21.23474451,0,0
206,21.23474451,0,0
207,21.14533506,0,0
208,21.10063034,0,0
209,21.01122089,0,0
210,21.01122089,0,0
211,21.01122089,0,0
212,21.01122089,0,0
213,21.01122089,0,0
214,21.10063034,0,0
215,21.19003979,0,0
216,21.41356341,0,0
217,21.68179177,0,0
218,21.95002012,0,0
219,22.12883902,0,0
220,22.35236264,0,0
221,22.620591,0,0
222,22.7994099,0,0
223,23.02293352,0,0
224,23.3358666,0,0
225,23.78291385,0,0
226,24.18525638,0,0
227,24.40878001,0,0
228,24.54289418,0,0
229,24.58759891,0,0
230,24.54289418,0,0
231,24.40878001,0,0
232,24.40878001,0,0
233,24.49818946,0,0
234,24.63230363,0,0
235,24.81112254,0,0
236,24.90053199,0,0
237,25.07935089,0,0
238,25.16876034,0,0
239,25.30287451,0,0
240,25.34757924,0,0
241,25.34757924,0,0
242,25.25816979,0,0
243,25.25816979,0,0
244,25.25816979,0,0
245,25.25816979,0,0
246,25.25816979,0,0
247,25.25816979,0,0
248,25.21346506,0,0
249,25.07935089,0,0
250,24.94523671,0,0
251,24.63230363,0,0
252,24.40878001,0,0
253,24.22996111,0,0
254,24.14055166,0,0
255,24.00643748,0,0
256,23.96173276,0,0
257,24.09584693,0,0
258,24.14055166,0,0
259,24.18525638,0,0
260,24.18525638,0,0
261,24.05114221,0,0
262,23.8723233,0,0
263,23.6935044,0,0
264,23.5146855,0,0
265,23.29116188,0,0
266,23.42527605,0,0
267,23.24645715,0,0
268,23.20175243,0,0
269,23.11234297,0,0
270,23.02293352,0,0
271,23.06763825,0,0
272,23.1570477,0,0
273,23.29116188,0,0
274,23.46998078,0,0
275,23.6935044,0,0
276,23.91702803,0,0
277,24.14055166,0,0
278,24.54289418,0,0
279,24.76641781,0,0
280,24.85582726,0,0
281,25.03464616,0,0
282,25.03464616,0,0
283,24.94523671,0,0
284,24.67700836,0,0
285,24.36407528,0,0
286,23.96173276,0,0
287,23.46998078,0,0
288,23.02293352,0,0
289,23.02293352,0,0
290,23.02293352,0,0
291,22.84411462,0,0
292,22.39706737,0,0
293,22.35236264,0,0
294,22.39706737,0,0
295,22.35236264,0,0
296,22.17354374,0,0
297,22.12883902,0,0
298,22.12883902,0,0
299,22.12883902,0,0
300,21.95002012,0,0
301,21.72649649,0,0
302,21.50297286,0,0
303,21.10063034,0,0
304,20.60887836,0,0
305,20.11712638,0,0
306,19.58066968,0,0
307,19.04421297,0,0
308,18.552461,0,0
309,18.01600429,0,0
310,17.21131924,0,0
311,16.54074836,0,0
312,15.7360633,0,0
313,15.11019715,0,0
314,14.52903572,0,0
315,14.08198847,0,0
316,13.67964594,0,0
317,13.63494121,0,0
318,13.41141759,0,0
319,12.96437033,0,0
320,12.29379945,0,0
321,11.08677187,0,0
322,9.611515937,0,0
323,8.985649783,0,0
324,8.53860253,0,0
325,8.270374179,0,0
326,7.599803299,0,0
327,6.92923242,0,0
328,5.588090661,0,0
329,4.828110331,0,0
330,3.576378023,0,0
331,2.101122089,0,0
332,0.625866154,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0,0,0
347,0.447047253,0,0
348,1.922303187,0,0
349,3.397559122,0,0
350,4.872815057,0,0
351,6.348070991,0,0
352,7.733917475,0,0
353,8.940945058,0,0
354,10.05856319,0,0
355,10.59501989,0,0
356,11.26559077,0,0
357,11.89145693,0,0
358,12.56202781,0,0
359,13.41141759,0,0
360,13.76905539,0,0
361,14.12669319,0,0
